#Model:BodyParts3D
#Version:4.0
#Tree:part_of
#FJID	BPID	FMA_ID	FMA_Name
FJ1423M	BP10015	FMA58777	Left iliotibial tract
FJ3013	BP9651	FMA68738	Laterobasal branch of right posterior basal segmental artery
FJ3014	BP9651	FMA68738	Laterobasal branch of right posterior basal segmental artery
FJ3015	BP9687	FMA68662	Apical part of right apical segmental artery
FJ3016	BP9687	FMA68662	Apical part of right apical segmental artery
FJ3017	BP9687	FMA68662	Apical part of right apical segmental artery
FJ3018	BP9540	FMA68670	Apical part of right posterior segmental artery
FJ3019	BP9427	FMA50872	Right pulmonary artery
FJ3020	BP9365	FMA49914	Right superior pulmonary vein
FJ3021	BP10183	FMA68928	Inferior part of right anterior segmental vein
FJ3022	BP10090	FMA8663	Right posterior segmental vein
FJ3023	BP10090	FMA8663	Right posterior segmental vein
FJ3024	BP10090	FMA8663	Right posterior segmental vein
FJ3025	BP10090	FMA8663	Right posterior segmental vein
FJ3026	BP10090	FMA8663	Right posterior segmental vein
FJ3027	BP9695	FMA68926	Superior part of right anterior segmental vein
FJ3028	BP9696	FMA8662	Right anterior segmental vein
FJ3029	BP9696	FMA8662	Right anterior segmental vein
FJ3030	BP9355	FMA68982	Superior part of medial segmental vein
FJ3031	BP9634	FMA68880	Trunk of right apical segmental vein
FJ3032	BP9880	FMA68983	Inferior part of medial segmental vein
FJ3033	BP9880	FMA68983	Inferior part of medial segmental vein
FJ3034	BP9778	FMA68945	Anterior part of lateral segmental vein
FJ3035	BP9778	FMA68945	Anterior part of lateral segmental vein
FJ3036	BP9778	FMA68945	Anterior part of lateral segmental vein
FJ3037	BP9640	FMA68944	Posterior part of lateral segmental vein
FJ3038	BP9640	FMA68944	Posterior part of lateral segmental vein
FJ3039	BP9640	FMA68944	Posterior part of lateral segmental vein
FJ3040	BP9407	FMA49911	Right inferior pulmonary vein
FJ3041	BP9509	FMA9428	Right posterior basal segmental vein
FJ3042	BP9882	FMA68921	Anterior part of right apical segmental vein
FJ3043	BP9509	FMA9428	Right posterior basal segmental vein
FJ3044	BP9509	FMA9428	Right posterior basal segmental vein
FJ3045	BP9509	FMA9428	Right posterior basal segmental vein
FJ3046	BP9509	FMA9428	Right posterior basal segmental vein
FJ3047	BP9509	FMA9428	Right posterior basal segmental vein
FJ3048	BP9509	FMA9428	Right posterior basal segmental vein
FJ3049	BP9501	FMA8673	Right anterior basal segmental vein
FJ3050	BP9523	FMA8670	Right superior segmental vein
FJ3051	BP9523	FMA8670	Right superior segmental vein
FJ3052	BP9523	FMA8670	Right superior segmental vein
FJ3053	BP9882	FMA68921	Anterior part of right apical segmental vein
FJ3054	BP9873	FMA9422	Right medial basal segmental vein
FJ3055	BP9873	FMA9422	Right medial basal segmental vein
FJ3056	BP9501	FMA8673	Right anterior basal segmental vein
FJ3057	BP9509	FMA9428	Right posterior basal segmental vein
FJ3058	BP9509	FMA9428	Right posterior basal segmental vein
FJ3059	BP9401	FMA9425	Right lateral basal segmental vein
FJ3060	BP9401	FMA9425	Right lateral basal segmental vein
FJ3061	BP9401	FMA9425	Right lateral basal segmental vein
FJ3062	BP9401	FMA9425	Right lateral basal segmental vein
FJ3063	BP9523	FMA8670	Right superior segmental vein
FJ3064	BP9709	FMA8681	Apical part of right apical segmental vein
FJ3065	BP9523	FMA8670	Right superior segmental vein
FJ3066	BP9523	FMA8670	Right superior segmental vein
FJ3067	BP9709	FMA8681	Apical part of right apical segmental vein
FJ3068	BP9709	FMA8681	Apical part of right apical segmental vein
FJ3069	BP10090	FMA8663	Right posterior segmental vein
FJ3070	BP10090	FMA8663	Right posterior segmental vein
FJ3129	BP10100	FMA15630	Left adrenal gland
FJ3130	BP10161	FMA15629	Right adrenal gland
FJ3131	BP9976	FMA13295	Diaphragm
FJ3139	BP9784	FMA9600	Prostate
FJ3144	BP9940	FMA15572	Left ureter
FJ3145	BP10234	FMA7205	Left kidney
FJ3146	BP10049	FMA15571	Right ureter
FJ3147	BP10046	FMA7204	Right kidney
FJ3148	BP10143	FMA19667	Urethra
FJ3149	BP9803	FMA15900	Urinary bladder
FJ3150	BP9901	FMA71195	Left lobe of thymus
FJ3151	BP10204	FMA71194	Right lobe of thymus
FJ3152	BP9949	FMA16586	Right hip bone
FJ3153	BP9391	FMA7488	Xiphoid process
FJ3154	BP9751	FMA10037	Tenth thoracic vertebra
FJ3155	BP9561	FMA10059	Eleventh thoracic vertebra
FJ3156	BP10217	FMA10081	Twelfth thoracic vertebra
FJ3157	BP10066	FMA13072	First lumbar vertebra
FJ3158	BP10080	FMA9165	First thoracic vertebra
FJ3159	BP10088	FMA13073	Second lumbar vertebra
FJ3160	BP9790	FMA9187	Second thoracic vertebra
FJ3161	BP10151	FMA12521	Third cervical vertebra
FJ3162	BP9675	FMA13074	Third lumbar vertebra
FJ3163	BP9927	FMA9209	Third thoracic vertebra
FJ3164	BP9546	FMA12522	Fourth cervical vertebra
FJ3165	BP9632	FMA13075	Fourth lumbar vertebra
FJ3166	BP10174	FMA9248	Fourth thoracic vertebra
FJ3167	BP10002	FMA12523	Fifth cervical vertebra
FJ3168	BP9697	FMA13076	Fifth lumbar vertebra
FJ3169	BP9883	FMA9922	Fifth thoracic vertebra
FJ3170	BP9368	FMA12524	Sixth cervical vertebra
FJ3171	BP9703	FMA9945	Sixth thoracic vertebra
FJ3172	BP9522	FMA12525	Seventh cervical vertebra
FJ3173	BP10006	FMA9968	Seventh thoracic vertebra
FJ3174	BP10205	FMA9991	Eighth thoracic vertebra
FJ3175	BP9656	FMA10014	Ninth thoracic vertebra
FJ3176	BP9997	FMA12519	Atlas
FJ3177	BP9781	FMA12520	Axis
FJ3178	BP10083	FMA7487	Body of sternum
FJ3179	BP9622	FMA32653	Distal phalanx of left second toe
FJ3180	BP9503	FMA32655	Distal phalanx of left third toe
FJ3181	BP9974	FMA32657	Distal phalanx of left fourth toe
FJ3182	BP10216	FMA32651	Distal phalanx of left big toe
FJ3183	BP9700	FMA23953	Distal phalanx of left index finger
FJ3184	BP9977	FMA23959	Distal phalanx of left little finger
FJ3185	BP9986	FMA32659	Distal phalanx of left little toe
FJ3186	BP10012	FMA23955	Distal phalanx of left middle finger
FJ3187	BP10127	FMA23957	Distal phalanx of left ring finger
FJ3188	BP10158	FMA23951	Distal phalanx of left thumb
FJ3189	BP9786	FMA32652	Distal phalanx of right second toe
FJ3190	BP10092	FMA32654	Distal phalanx of right third toe
FJ3191	BP10218	FMA32656	Distal phalanx of right fourth toe
FJ3192	BP10230	FMA32650	Distal phalanx of right big toe
FJ3193	BP10064	FMA24460	Distal phalanx of right index finger
FJ3194	BP9881	FMA24463	Distal phalanx of right little finger
FJ3195	BP9914	FMA32658	Distal phalanx of right little toe
FJ3196	BP9795	FMA24461	Distal phalanx of right middle finger
FJ3197	BP9506	FMA24462	Distal phalanx of right ring finger
FJ3198	BP9772	FMA24459	Distal phalanx of right thumb
FJ3199	BP10084	FMA52740	Ethmoid
FJ3200	BP9668	FMA52734	Frontal bone
FJ3201	BP10003	FMA52749	Hyoid bone
FJ3202	BP10171	FMA25058	Intervertebral disk of axis
FJ3203	BP10223	FMA13501	Intervertebral disk of fourth thoracic vertebra
FJ3204	BP9870	FMA13502	Intervertebral disk of fifth thoracic vertebra
FJ3205	BP9889	FMA13503	Intervertebral disk of sixth thoracic vertebra
FJ3206	BP9769	FMA13504	Intervertebral disk of seventh thoracic vertebra
FJ3207	BP9994	FMA13505	Intervertebral disk of eighth thoracic vertebra
FJ3208	BP9916	FMA13506	Intervertebral disk of ninth thoracic vertebra
FJ3209	BP10128	FMA13507	Intervertebral disk of tenth thoracic vertebra
FJ3210	BP9337	FMA13508	Intervertebral disk of eleventh thoracic vertebra
FJ3211	BP9765	FMA10446	Intervertebral disk
FJ3212	BP10038	FMA16033	Intervertebral disk of first lumbar vertebra
FJ3213	BP10193	FMA13896	Intervertebral disk of third cervical vertebra
FJ3214	BP9907	FMA16034	Intervertebral disk of second lumbar vertebra
FJ3215	BP9567	FMA16035	Intervertebral disk of third lumbar vertebra
FJ3216	BP9688	FMA16036	Intervertebral disk of fourth lumbar vertebra
FJ3217	BP9968	FMA16037	Intervertebral disk of fifth lumbar vertebra
FJ3218	BP9923	FMA13897	Intervertebral disk of fourth cervical vertebra
FJ3219	BP9491	FMA13898	Intervertebral disk of fifth cervical vertebra
FJ3220	BP10187	FMA13899	Intervertebral disk of sixth cervical vertebra
FJ3221	BP9682	FMA13900	Intervertebral disk of seventh cervical vertebra
FJ3222	BP10175	FMA10458	Intervertebral disk of first thoracic vertebra
FJ3223	BP9815	FMA13495	Intervertebral disk of second thoracic vertebra
FJ3224	BP10094	FMA13500	Intervertebral disk of third thoracic vertebra
FJ3225	BP10173	FMA8472	Left tenth rib
FJ3226	BP10142	FMA8532	Left eleventh rib
FJ3227	BP10125	FMA8534	Left twelfth rib
FJ3228	BP9978	FMA7987	Left first rib
FJ3229	BP10089	FMA8012	Left second rib
FJ3230	BP9720	FMA8039	Left third rib
FJ3231	BP9589	FMA8148	Left fourth rib
FJ3232	BP9794	FMA8093	Left fifth rib
FJ3233	BP10114	FMA8202	Left sixth rib
FJ3234	BP10209	FMA8256	Left seventh rib
FJ3235	BP9918	FMA8310	Left eighth rib
FJ3236	BP9773	FMA8391	Left ninth rib
FJ3237	BP10007	FMA13323	Left clavicle
FJ3239	BP9930	FMA8005	Left first costal cartilage
FJ3240	BP10035	FMA24465	Left first metacarpal bone
FJ3241	BP9649	FMA24508	Left first metatarsal bone
FJ3242	BP9764	FMA8031	Left second costal cartilage
FJ3243	BP10048	FMA24467	Left second metacarpal bone
FJ3244	BP10052	FMA24510	Left second metatarsal bone
FJ3245	BP9942	FMA8058	Left third costal cartilage
FJ3246	BP10021	FMA24469	Left third metacarpal bone
FJ3247	BP10076	FMA24512	Left third metatarsal bone
FJ3248	BP9958	FMA8167	Left fourth costal cartilage
FJ3249	BP10196	FMA24471	Left fourth metacarpal bone
FJ3250	BP9814	FMA24514	Left fourth metatarsal bone
FJ3251	BP9973	FMA8112	Left fifth costal cartilage
FJ3252	BP9543	FMA24473	Left fifth metacarpal bone
FJ3253	BP10214	FMA24516	Left fifth metatarsal bone
FJ3254	BP9713	FMA8221	Left sixth costal cartilage
FJ3255	BP9823	FMA8275	Left seventh costal cartilage
FJ3256	BP9825	FMA24498	Left calcaneus
FJ3257	BP9504	FMA24447	Left capitate
FJ3258	BP9828	FMA24529	Left cuboid bone
FJ3259	BP10115	FMA24475	Left femur
FJ3260	BP9685	FMA24481	Left fibula
FJ3261	BP10034	FMA24449	Left hamate
FJ3262	BP10189	FMA23131	Left humerus
FJ3263	BP10109	FMA54738	Left inferior nasal concha
FJ3264	BP9820	FMA24524	Left intermediate cuneiform bone
FJ3265	BP9614	FMA53646	Left lacrimal bone
FJ3267	BP9717	FMA24526	Left lateral cuneiform bone
FJ3268	BP9800	FMA24438	Left lunate
FJ3269	BP10118	FMA53650	Left maxilla
FJ3271	BP9959	FMA24522	Left medial cuneiform bone
FJ3272	BP9837	FMA53648	Left nasal bone
FJ3273	BP9484	FMA53656	Left palatine bone
FJ3274	BP10199	FMA52789	Left parietal bone
FJ3275	BP9728	FMA24487	Left patella
FJ3276	BP10072	FMA24442	Left pisiform
FJ3277	BP10123	FMA23465	Left radius
FJ3278	BP9627	FMA24436	Left scaphoid
FJ3279	BP10159	FMA13396	Left scapula
FJ3280	BP10186	FMA24483	Left talus
FJ3281	BP9536	FMA52739	Left temporal bone
FJ3282	BP10195	FMA24478	Left tibia
FJ3283	BP10102	FMA24444	Left trapezium
FJ3284	BP10228	FMA24445	Left trapezoid
FJ3285	BP9859	FMA24440	Left triquetral
FJ3286	BP10130	FMA23468	Left ulna
FJ3287	BP9801	FMA52893	Left zygomatic bone
FJ3288	BP10067	FMA16587	Left hip bone
FJ3289	BP9617	FMA52748	Mandible
FJ3290	BP9840	FMA7486	Manubrium
FJ3291	BP9872	FMA23942	Middle phalanx of left ring finger
FJ3292	BP9777	FMA24457	Middle phalanx of right ring finger
FJ3293	BP9398	FMA32643	Middle phalanx of left second toe
FJ3294	BP9292	FMA32645	Middle phalanx of left third toe
FJ3295	BP10091	FMA32647	Middle phalanx of left fourth toe
FJ3296	BP10126	FMA23938	Middle phalanx of left index finger
FJ3297	BP9865	FMA23944	Middle phalanx of left little finger
FJ3298	BP10111	FMA230988	Middle phalanx of left little toe
FJ3299	BP9779	FMA23940	Middle phalanx of left middle finger
FJ3300	BP9798	FMA32642	Middle phalanx of right second toe
FJ3301	BP10119	FMA32644	Middle phalanx of right third toe
FJ3302	BP9858	FMA32646	Middle phalanx of right fourth toe
FJ3303	BP9821	FMA24455	Middle phalanx of right index finger
FJ3304	BP9799	FMA24458	Middle phalanx of right little finger
FJ3305	BP10212	FMA230986	Middle phalanx of right little toe
FJ3306	BP10170	FMA24456	Middle phalanx of right middle finger
FJ3307	BP9866	FMA24501	Navicular bone of left foot
FJ3308	BP10162	FMA24500	Navicular bone of right foot
FJ3309	BP10180	FMA52735	Occipital bone
FJ3310	BP9970	FMA43253	Proximal phalanx of right big toe
FJ3311	BP10004	FMA32637	Proximal phalanx of left third toe
FJ3312	BP9715	FMA32639	Proximal phalanx of left fourth toe
FJ3313	BP9710	FMA71915	Proximal phalanx of left index finger
FJ3314	BP9919	FMA66791	Proximal phalanx of left little finger
FJ3315	BP9863	FMA32641	Proximal phalanx of left little toe
FJ3316	BP10022	FMA71908	Proximal phalanx of left middle finger
FJ3317	BP9493	FMA71916	Proximal phalanx of left ring finger
FJ3318	BP9437	FMA65470	Proximal phalanx of left thumb
FJ3319	BP10191	FMA32634	Proximal phalanx of right second toe
FJ3320	BP9947	FMA32636	Proximal phalanx of right third toe
FJ3321	BP9698	FMA32638	Proximal phalanx of right fourth toe
FJ3322	BP10051	FMA24451	Proximal phalanx of right index finger
FJ3323	BP9612	FMA24454	Proximal phalanx of right little finger
FJ3324	BP9762	FMA32640	Proximal phalanx of right little toe
FJ3325	BP10103	FMA24452	Proximal phalanx of right middle finger
FJ3326	BP9711	FMA24453	Proximal phalanx of right ring finger
FJ3327	BP9557	FMA24450	Proximal phalanx of right thumb
FJ3328	BP10137	FMA32635	Proximal phalanx of left second toe
FJ3329	BP9891	FMA43254	Proximal phalanx of left big toe
FJ3330	BP9749	FMA8445	Right tenth rib
FJ3331	BP10071	FMA8531	Right eleventh rib
FJ3332	BP10213	FMA8533	Right twelfth rib
FJ3333	BP9771	FMA7875	Right first costal cartilage
FJ3334	BP9714	FMA7857	Right first rib
FJ3335	BP10045	FMA7886	Right second costal cartilage
FJ3336	BP10229	FMA7882	Right second rib
FJ3337	BP10093	FMA7913	Right third costal cartilage
FJ3338	BP10077	FMA7909	Right third rib
FJ3339	BP9827	FMA7976	Right fourth costal cartilage
FJ3340	BP10139	FMA7957	Right fourth rib
FJ3341	BP9987	FMA8070	Right fifth costal cartilage
FJ3342	BP9975	FMA8066	Right fifth rib
FJ3343	BP9396	FMA8194	Right sixth costal cartilage
FJ3344	BP10033	FMA8175	Right sixth rib
FJ3345	BP9725	FMA8248	Right seventh costal cartilage
FJ3346	BP9669	FMA8229	Right seventh rib
FJ3347	BP10133	FMA8283	Right eighth rib
FJ3348	BP10184	FMA8364	Right ninth rib
FJ3349	BP9783	FMA23464	Right radius
FJ3350	BP9833	FMA24464	Right first metacarpal bone
FJ3351	BP9677	FMA24507	Right first metatarsal bone
FJ3352	BP9671	FMA24466	Right second metacarpal bone
FJ3353	BP9876	FMA24509	Right second metatarsal bone
FJ3354	BP9877	FMA24468	Right third metacarpal bone
FJ3355	BP9980	FMA24511	Right third metatarsal bone
FJ3356	BP9775	FMA24470	Right fourth metacarpal bone
FJ3357	BP10160	FMA24513	Right fourth metatarsal bone
FJ3358	BP10056	FMA24472	Right fifth metacarpal bone
FJ3359	BP9463	FMA24515	Right fifth metatarsal bone
FJ3360	BP10113	FMA24497	Right calcaneus
FJ3361	BP9824	FMA24446	Right capitate
FJ3362	BP10225	FMA13322	Right clavicle
FJ3364	BP10031	FMA24528	Right cuboid bone
FJ3365	BP10053	FMA24474	Right femur
FJ3366	BP9550	FMA24480	Right fibula
FJ3367	BP10220	FMA24448	Right hamate
FJ3368	BP10197	FMA23130	Right humerus
FJ3369	BP9752	FMA54737	Right inferior nasal concha
FJ3370	BP10153	FMA24523	Right intermediate cuneiform bone
FJ3371	BP9936	FMA53645	Right lacrimal bone
FJ3373	BP9929	FMA24525	Right lateral cuneiform bone
FJ3374	BP10233	FMA24437	Right lunate
FJ3375	BP9705	FMA53649	Right maxilla
FJ3377	BP9996	FMA24521	Right medial cuneiform bone
FJ3378	BP10124	FMA53647	Right nasal bone
FJ3379	BP9748	FMA53655	Right palatine bone
FJ3380	BP10121	FMA52788	Right parietal bone
FJ3381	BP9739	FMA24486	Right patella
FJ3382	BP9957	FMA24441	Right pisiform
FJ3383	BP9926	FMA24435	Right scaphoid
FJ3384	BP10144	FMA13395	Right scapula
FJ3385	BP9560	FMA24482	Right talus
FJ3386	BP10032	FMA52738	Right temporal bone
FJ3387	BP9559	FMA24477	Right tibia
FJ3388	BP9841	FMA24443	Right trapezium
FJ3389	BP9408	FMA23725	Right trapezoid
FJ3390	BP9704	FMA24439	Right triquetral
FJ3391	BP9679	FMA23467	Right ulna
FJ3392	BP9965	FMA52892	Right zygomatic bone
FJ3393	BP10178	FMA16202	Sacrum
FJ3394	BP9806	FMA52736	Sphenoid bone
FJ3395	BP9960	FMA9710	Vomer
FJ2386	BP6949	FMA70447	Caudate lobe branch of right hepatic artery
FJ2404	BP9694	FMA15415	Left portal vein
FJ2405	BP9460	FMA15414	Right portal vein
FJ2409	BP7470	FMA15745	Hepatovenous segment VII
FJ2415	BP7457	FMA14339	Left hepatic vein
FJ2416	BP7448	FMA14338	Right hepatic vein
