#Model:BodyParts3D
#Version:4.1
#Tree:is_a
#FJID	BPID	FMA_ID	FMA_Name
FJ3673	BP14930	FMA55563	Left inferior parathyroid gland
FJ2584	BP12083	FMA14965	Middle part of ileum
FJ2585	BP13792	FMA14964	Proximal part of ileum
FJ2586	BP12083	FMA14965	Middle part of ileum
FJ2587	BP12241	FMA14966	Distal part of ileum
FJ2588	BP12241	FMA14966	Distal part of ileum
FJ2589	BP12241	FMA14966	Distal part of ileum
FJ2590	BP12241	FMA14966	Distal part of ileum
FJ2591	BP12241	FMA14966	Distal part of ileum
FJ2592	BP12241	FMA14966	Distal part of ileum
FJ2593	BP12241	FMA14966	Distal part of ileum
FJ2594	BP12241	FMA14966	Distal part of ileum
FJ2595	BP12241	FMA14966	Distal part of ileum
FJ2596	BP13792	FMA14964	Proximal part of ileum
FJ2597	BP12241	FMA14966	Distal part of ileum
FJ2598	BP12241	FMA14966	Distal part of ileum
FJ2599	BP12634	FMA11338	Ileocecal junction
FJ2600	BP13792	FMA14964	Proximal part of ileum
FJ2601	BP13792	FMA14964	Proximal part of ileum
FJ2602	BP13792	FMA14964	Proximal part of ileum
FJ2603	BP13792	FMA14964	Proximal part of ileum
FJ2604	BP13792	FMA14964	Proximal part of ileum
FJ2605	BP13792	FMA14964	Proximal part of ileum
FJ2606	BP13218	FMA16981	Proximal part of jejunum
FJ2607	BP13501	FMA16982	Middle part of jejunum
FJ2608	BP13501	FMA16982	Middle part of jejunum
FJ2609	BP13501	FMA16982	Middle part of jejunum
FJ2610	BP13501	FMA16982	Middle part of jejunum
FJ2611	BP12230	FMA16983	Distal part of jejunum
FJ2612	BP12230	FMA16983	Distal part of jejunum
FJ2613	BP12230	FMA16983	Distal part of jejunum
FJ2614	BP12230	FMA16983	Distal part of jejunum
FJ2615	BP12230	FMA16983	Distal part of jejunum
FJ2616	BP12230	FMA16983	Distal part of jejunum
FJ2617	BP13218	FMA16981	Proximal part of jejunum
FJ2618	BP12230	FMA16983	Distal part of jejunum
FJ2619	BP12230	FMA16983	Distal part of jejunum
FJ2620	BP12230	FMA16983	Distal part of jejunum
FJ2621	BP12230	FMA16983	Distal part of jejunum
FJ2622	BP13218	FMA16981	Proximal part of jejunum
FJ2623	BP13218	FMA16981	Proximal part of jejunum
FJ2624	BP13218	FMA16981	Proximal part of jejunum
FJ2625	BP13218	FMA16981	Proximal part of jejunum
FJ2626	BP13218	FMA16981	Proximal part of jejunum
FJ2627	BP13218	FMA16981	Proximal part of jejunum
FJ2628	BP13501	FMA16982	Middle part of jejunum
FJ2629	BP14744	FMA63120	Parenchyma of pancreas
FJ2630	BP13090	FMA63103	Pancreatic duct tree
FJ1846	BP11496	FMA50737	Celiac artery
FJ1853	BP11342	FMA50735	Hepatic portal vein
FJ1858	BP11510	FMA15747	Hepatovenous segment IX
FJ1867	BP13606	FMA15793	Tributary of middle hepatic vein
FJ1874	BP13931	FMA71710	Left lobe branch of left hepatic artery
FJ1883	BP13618	FMA71889	Caudate lobe tributary of left hepatic biliary tree
FJ1893	BP13694	FMA15415	Left portal vein
FJ1895	BP11180	FMA7198	Pancreas
FJ1896	BP13616	FMA10419	Pancreatic duct
FJ1913	BP11341	FMA15414	Right portal vein
FJ1914	BP13693	FMA82706	Caudate lobe branch of right portal vein
FJ1916	BP11419	FMA70447	Caudate lobe branch of right hepatic artery
FJ1924	BP11418	FMA71708	Right lobe branch of right hepatic artery
FJ1928	BP11420	FMA14749	Superior mesenteric artery
FJ1931	BP11384	FMA87217	Descending thoracic aorta
FJ1932	BP13816	FMA3789	Abdominal aorta
FJ1933	BP13870	FMA68109	Bronchial artery
FJ1934	BP11495	FMA4149	Esophageal artery
FJ1935	BP11486	FMA5042	Right superior intercostal artery
FJ1936	BP11431	FMA3988	Right superior epigastric artery
FJ1937	BP13984	FMA3969	Right internal thoracic artery
FJ1938	BP13960	FMA22675	Right lateral thoracic artery
FJ1939	BP13916	FMA66242	Right first posterior intercostal artery
FJ1950	BP13912	FMA5041	Right second posterior intercostal artery
FJ1961	BP11576	FMA63822	Posterior intercostal arteries
FJ1967	BP13866	FMA4634	Right subcostal artery
FJ1969	BP11433	FMA10692	Right musculophrenic artery
FJ1970	BP11487	FMA4088	Left superior intercostal artery
FJ1971	BP11432	FMA4083	Left superior epigastric artery
FJ1972	BP13985	FMA4068	Left internal thoracic artery
FJ1973	BP13915	FMA66243	Left first posterior intercostal artery
FJ1974	BP13913	FMA4112	Left second posterior intercostal artery
FJ1975	BP11576	FMA63822	Posterior intercostal arteries
FJ1976	BP13959	FMA22676	Left lateral thoracic artery
FJ1977	BP13867	FMA4654	Left subcostal artery
FJ1979	BP11434	FMA4077	Left musculophrenic artery
FJ1981	BP11366	FMA5011	Accessory hemiazygos vein
FJ1985	BP14090	FMA70839	Set of anterior intercostal veins
FJ1986	BP13797	FMA4797	Left superior intercostal vein
FJ1987	BP13798	FMA4951	Left subcostal vein
FJ1988	BP13796	FMA4786	Left musculophrenic vein
FJ1991	BP13737	FMA4877	Right superior intercostal vein
FJ1993	BP11373	FMA4758	Right internal thoracic vein
FJ1994	BP14090	FMA70839	Set of anterior intercostal veins
FJ1995	BP11375	FMA4844	Right subcostal vein
FJ1996	BP13795	FMA4772	Right musculophrenic vein
FJ2011	BP11420	FMA14749	Superior mesenteric artery
FJ2013	BP11496	FMA50737	Celiac artery
FJ2025	BP13932	FMA14824	Marginal colic artery
FJ2034	BP14150	FMA14819	Ileal branch of inferior branch of ileocolic artery
FJ2038	BP14151	FMA14752	Right renal artery
FJ2041	BP11604	FMA8620	Right anterior segmental artery
FJ2042	BP14152	FMA86340	Superior segmental branch of right renal artery
FJ2043	BP11607	FMA86346	Inferior segmental branch of right renal artery
FJ2044	BP11604	FMA8620	Right anterior segmental artery
FJ2045	BP11609	FMA86348	Posterior segmental branch of right renal artery
FJ2046	BP10689	FMA14753	Left renal artery
FJ2049	BP14155	FMA86347	Inferior segmental branch of left renal artery
FJ2052	BP12033	FMA86341	Superior segmental branch of left renal artery
FJ2053	BP14156	FMA86349	Posterior segmental branch of left renal artery
FJ2054	BP14156	FMA86349	Posterior segmental branch of left renal artery
FJ2055	BP13828	FMA43916	Right dorsalis pedis artery
FJ2056	BP11347	FMA21354	Deep dorsal vein of penis
FJ2057	BP11391	FMA21422	Descending branch of right lateral circumflex femoral artery
FJ2058	BP11509	FMA69517	Distal perforating artery
FJ2059	BP13736	FMA44882	Dorsal venous arch of left foot
FJ2060	BP13736	FMA44882	Dorsal venous arch of left foot
FJ2061	BP13735	FMA44881	Dorsal venous arch of right foot
FJ2062	BP13735	FMA44881	Dorsal venous arch of right foot
FJ2063	BP11392	FMA21423	Descending branch of left lateral circumflex femoral artery
FJ2064	BP11509	FMA69517	Distal perforating artery
FJ2065	BP13860	FMA43897	Left anterior tibial artery
FJ2066	BP13848	FMA43908	Left anterior tibial recurrent artery
FJ2067	BP13845	FMA69495	Left arcuate artery
FJ2068	BP13819	FMA69515	Left deep plantar artery
FJ2069	BP13836	FMA22508	Left descending genicular artery
FJ2072	BP11395	FMA44660	Dorsal digital artery of foot
FJ2073	BP13829	FMA43917	Left dorsalis pedis artery
FJ2074	BP13863	FMA70250	Left femoral artery
FJ2076	BP13922	FMA43893	Left inferior lateral genicular artery
FJ2077	BP11412	FMA43891	Left inferior medial genicular artery
FJ2078	BP13833	FMA20802	Left lateral circumflex femoral artery
FJ2079	BP11401	FMA43932	Left lateral plantar artery
FJ2080	BP13926	FMA22589	Left lateral superior genicular artery
FJ2081	BP11398	FMA69491	Left lateral tarsal artery
FJ2082	BP13857	FMA43930	Left medial plantar artery
FJ2083	BP13925	FMA22587	Left medial superior genicular artery
FJ2084	BP13865	FMA22563	Left middle genicular artery
FJ2085	BP11387	FMA43944	Left plantar arch
FJ2086	BP11405	FMA77381	Left popliteal artery
FJ2087	BP13862	FMA43899	Left posterior tibial artery
FJ2089	BP11507	FMA43938	Left superficial medial plantar artery
FJ2090	BP14081	FMA70815	Set of perforating arteries
FJ2091	BP14084	FMA71562	Set of calcaneal branches of posterior tibial artery
FJ2092	BP14083	FMA70821	Set of common plantar digital arteries
FJ2093	BP14079	FMA70801	Set of dorsal digital arteries
FJ2094	BP14081	FMA70815	Set of perforating arteries
FJ2095	BP14080	FMA71564	Set of plantar digital arteries proper
FJ2096	BP13850	FMA43956	Plantar metatarsal artery
FJ2097	BP11866	FMA44337	Left anterior tibial vein
FJ2099	BP13727	FMA51043	Left deep femoral vein
FJ2100	BP14086	FMA70922	Set of perforating veins
FJ2102	BP13730	FMA21189	Left femoral vein
FJ2103	BP11363	FMA21380	Left great saphenous vein
FJ2107	BP13715	FMA44888	Left genicular vein
FJ2108	BP13715	FMA44888	Left genicular vein
FJ2113	BP11351	FMA44499	Tributary of plantar venous arch
FJ2115	BP11351	FMA44499	Tributary of plantar venous arch
FJ2117	BP13721	FMA44329	Left popliteal vein
FJ2118	BP13707	FMA44339	Left posterior tibial vein
FJ2119	BP14086	FMA70922	Set of perforating veins
FJ2120	BP14085	FMA70919	Set of plantar digital veins
FJ2121	BP13712	FMA44335	Left small saphenous vein
FJ2122	BP11358	FMA44341	Left superficial epigastric vein
FJ2124	BP13715	FMA44888	Left genicular vein
FJ2125	BP13715	FMA44888	Left genicular vein
FJ2127	BP14081	FMA70815	Set of perforating arteries
FJ2128	BP13732	FMA44884	Plantar venous arch of left foot
FJ2129	BP13731	FMA44883	Plantar venous arch of right foot
FJ2130	BP13859	FMA43896	Right anterior tibial artery
FJ2131	BP13847	FMA43907	Right anterior tibial recurrent artery
FJ2132	BP13709	FMA44336	Right anterior tibial vein
FJ2133	BP13844	FMA69494	Right arcuate artery
FJ2135	BP13726	FMA51042	Right deep femoral vein
FJ2136	BP11385	FMA69514	Right deep plantar artery
FJ2137	BP13835	FMA22507	Right descending genicular artery
FJ2138	BP14086	FMA70922	Set of perforating veins
FJ2141	BP11395	FMA44660	Dorsal digital artery of foot
FJ2143	BP11406	FMA70249	Right femoral artery
FJ2144	BP13729	FMA21188	Right femoral vein
FJ2145	BP11362	FMA21379	Right great saphenous vein
FJ2150	BP13921	FMA43892	Right inferior lateral genicular artery
FJ2151	BP13714	FMA44887	Right genicular vein
FJ2152	BP13920	FMA43890	Right inferior medial genicular artery
FJ2153	BP13714	FMA44887	Right genicular vein
FJ2158	BP13832	FMA20801	Right lateral circumflex femoral artery
FJ2159	BP11400	FMA43931	Right lateral plantar artery
FJ2160	BP11351	FMA44499	Tributary of plantar venous arch
FJ2162	BP11415	FMA22588	Right lateral superior genicular artery
FJ2163	BP11397	FMA69490	Right lateral tarsal artery
FJ2164	BP13852	FMA43929	Right medial plantar artery
FJ2165	BP11351	FMA44499	Tributary of plantar venous arch
FJ2166	BP13924	FMA22586	Right medial superior genicular artery
FJ2167	BP13864	FMA22562	Right middle genicular artery
FJ2169	BP11386	FMA43943	Right plantar arch
FJ2170	BP11404	FMA77380	Right popliteal artery
FJ2171	BP13720	FMA44328	Right popliteal vein
FJ2172	BP13861	FMA43898	Right posterior tibial artery
FJ2173	BP13706	FMA44338	Right posterior tibial vein
FJ2174	BP14086	FMA70922	Set of perforating veins
FJ2175	BP14085	FMA70919	Set of plantar digital veins
FJ2176	BP13711	FMA44334	Right small saphenous vein
FJ2178	BP11357	FMA44340	Right superficial epigastric vein
FJ2179	BP11506	FMA43937	Right superficial medial plantar artery
FJ2181	BP13714	FMA44887	Right genicular vein
FJ2182	BP13714	FMA44887	Right genicular vein
FJ2183	BP11866	FMA44337	Left anterior tibial vein
FJ2184	BP13718	FMA44886	Left fibular vein
FJ2185	BP11578	FMA70917	Set of dorsal digital veins
FJ2186	BP13803	FMA22954	Dorsal metacarpal vein
FJ2187	BP13718	FMA44886	Left fibular vein
FJ2188	BP11360	FMA44922	Left lateral circumflex femoral vein
FJ2189	BP13724	FMA44919	Left medial circumflex femoral vein
FJ2190	BP13717	FMA44885	Right fibular vein
FJ2191	BP11352	FMA44504	Plantar metatarsal vein
FJ2192	BP14086	FMA70922	Set of perforating veins
FJ2193	BP13709	FMA44336	Right anterior tibial vein
FJ2194	BP13717	FMA44885	Right fibular vein
FJ2195	BP14084	FMA71562	Set of calcaneal branches of posterior tibial artery
FJ2196	BP14083	FMA70821	Set of common plantar digital arteries
FJ2197	BP14079	FMA70801	Set of dorsal digital arteries
FJ2198	BP11578	FMA70917	Set of dorsal digital veins
FJ2199	BP13803	FMA22954	Dorsal metacarpal vein
FJ2200	BP13717	FMA44885	Right fibular vein
FJ2201	BP10818	FMA44920	Right lateral circumflex femoral vein
FJ2202	BP13723	FMA44918	Right medial circumflex femoral vein
FJ2203	BP14081	FMA70815	Set of perforating arteries
FJ2204	BP14080	FMA71564	Set of plantar digital arteries proper
FJ2205	BP14080	FMA71564	Set of plantar digital arteries proper
FJ2206	BP13850	FMA43956	Plantar metatarsal artery
FJ2207	BP11352	FMA44504	Plantar metatarsal vein
FJ2208	BP11826	FMA21384	Superficial dorsal vein of penis
FJ2209	BP11427	FMA10697	Right inferior thyroid artery
FJ2210	BP11428	FMA10680	Left inferior thyroid artery
FJ2211	BP13978	FMA23069	Acromial branch of left thoraco-acromial artery
FJ2212	BP13992	FMA22683	Left anterior circumflex humeral artery
FJ2213	BP13787	FMA77955	Left anterior circumflex humeral vein
FJ2214	BP11470	FMA22813	Left anterior interosseous artery
FJ2215	BP11459	FMA22713	Left inferior ulnar collateral artery
FJ2216	BP13825	FMA22656	Left axillary artery
FJ2217	BP13790	FMA13331	Left axillary vein
FJ2218	BP13785	FMA22910	Left basilic vein
FJ2219	BP13823	FMA22692	Left brachial artery
FJ2220	BP13780	FMA13326	Left cephalic vein
FJ2221	BP11448	FMA23181	Left circumflex scapular artery
FJ2222	BP13778	FMA77950	Left circumflex scapular vein
FJ2223	BP13972	FMA22808	Left common interosseous artery
FJ2224	BP14009	FMA4086	Left costocervical trunk
FJ2225	BP11462	FMA22697	Left deep brachial artery
FJ2226	BP11490	FMA4134	Left deep cervical artery
FJ2227	BP11563	FMA22840	Left deep palmar arch
FJ2228	BP11579	FMA62507	Dorsal venous network of left hand
FJ2229	BP11566	FMA22913	Left deep palmar venous arch
FJ2230	BP11482	FMA23073	Deltoid branch of left thoraco-acromial artery
FJ2231	BP11437	FMA22773	Dorsal carpal branch of left radial artery
FJ2232	BP13942	FMA10552	Left dorsal scapular artery
FJ2233	BP13755	FMA71212	Left lateral thoracic vein
FJ2234	BP11370	FMA22969	Left median antebrachial vein
FJ2235	BP13769	FMA22965	Left median cubital vein
FJ2236	BP11476	FMA22822	Left dorsal carpal branch of ulnar artery
FJ2237	BP13909	FMA22865	Left palmar metacarpal artery
FJ2238	BP13764	FMA22921	Left palmar metacarpal vein
FJ2239	BP13954	FMA22687	Left posterior circumflex humeral artery
FJ2240	BP13954	FMA22687	Left posterior circumflex humeral artery
FJ2241	BP13965	FMA22805	Left posterior ulnar recurrent artery
FJ2242	BP13983	FMA22734	Left radial artery
FJ2243	BP11435	FMA22766	Left radial recurrent artery
FJ2244	BP13767	FMA22949	Left radial vein
FJ2245	BP11466	FMA268669	Left recurrent interosseous artery
FJ2246	BP13963	FMA22679	Left subscapular artery
FJ2247	BP13753	FMA23115	Left subscapular vein
FJ2248	BP14062	FMA22837	Left superficial palmar arterial arch
FJ2249	BP14064	FMA22916	Left superficial palmar venous arch
FJ2250	BP13751	FMA50860	Left suprascapular vein
FJ2251	BP11425	FMA10681	Left suprascapular artery
FJ2252	BP14015	FMA66564	Trunk of left thoraco-acromial artery
FJ2253	BP11445	FMA66322	Left thoracodorsal artery
FJ2254	BP13773	FMA71215	Left thoracodorsal vein
FJ2255	BP14006	FMA4084	Left thyrocervical trunk
FJ2256	BP13939	FMA10683	Left superficial cervical artery
FJ2257	BP13934	FMA10682	Left transverse cervical artery
FJ2258	BP13975	FMA22798	Left ulnar artery
FJ2259	BP11473	FMA22802	Left anterior ulnar recurrent artery
FJ2260	BP13760	FMA22952	Left ulnar vein
FJ2261	BP11455	FMA23127	Radial collateral branch of left deep brachial artery
FJ2262	BP11454	FMA23126	Radial collateral branch of right deep brachial artery
FJ2263	BP11485	FMA23068	Acromial branch of right thoraco-acromial artery
FJ2264	BP13991	FMA22682	Right anterior circumflex humeral artery
FJ2265	BP13786	FMA77954	Right anterior circumflex humeral vein
FJ2266	BP11469	FMA22812	Right anterior interosseous artery
FJ2267	BP11460	FMA22712	Right inferior ulnar collateral artery
FJ2268	BP13824	FMA22655	Right axillary artery
FJ2269	BP13789	FMA13330	Right axillary vein
FJ2270	BP13784	FMA22909	Right basilic vein
FJ2271	BP13822	FMA22691	Right brachial artery
FJ2272	BP13779	FMA13325	Right cephalic vein
FJ2273	BP11447	FMA23180	Right circumflex scapular artery
FJ2274	BP13777	FMA77949	Right circumflex scapular vein
FJ2275	BP13970	FMA22807	Right common interosseous artery
FJ2276	BP14008	FMA5039	Right costocervical trunk
FJ2277	BP11461	FMA22696	Right deep brachial artery
FJ2278	BP11489	FMA10660	Right deep cervical artery
FJ2279	BP11562	FMA22839	Right deep palmar arch
FJ2280	BP11580	FMA62506	Dorsal venous network of right hand
FJ2281	BP14065	FMA22912	Right deep palmar venous arch
FJ2282	BP11483	FMA23072	Deltoid branch of right thoraco-acromial artery
FJ2283	BP11436	FMA22772	Dorsal carpal branch of right radial artery
FJ2284	BP13941	FMA4057	Right dorsal scapular artery
FJ2285	BP13754	FMA71211	Right lateral thoracic vein
FJ2286	BP13770	FMA22968	Right median antebrachial vein
FJ2287	BP11369	FMA22964	Right median cubital vein
FJ2288	BP11475	FMA22821	Right dorsal carpal branch of ulnar artery
FJ2289	BP13908	FMA22864	Right palmar metacarpal artery
FJ2290	BP13763	FMA22920	Right palmar metacarpal vein
FJ2291	BP13953	FMA22685	Right posterior circumflex humeral artery
FJ2292	BP13953	FMA22685	Right posterior circumflex humeral artery
FJ2293	BP13966	FMA22804	Right posterior ulnar recurrent artery
FJ2294	BP13982	FMA22733	Right radial artery
FJ2295	BP13947	FMA22764	Right radial recurrent artery
FJ2296	BP13766	FMA22948	Right radial vein
FJ2297	BP11467	FMA268667	Right recurrent interosseous artery
FJ2298	BP13962	FMA22678	Right subscapular artery
FJ2299	BP11367	FMA23114	Right subscapular vein
FJ2300	BP11565	FMA22835	Right superficial palmar arterial arch
FJ2301	BP14063	FMA22915	Right superficial palmar venous arch
FJ2302	BP13750	FMA50859	Right suprascapular vein
FJ2303	BP11424	FMA10698	Right suprascapular artery
FJ2304	BP14014	FMA66563	Trunk of right thoraco-acromial artery
FJ2305	BP11444	FMA66321	Right thoracodorsal artery
FJ2306	BP13772	FMA71214	Right thoracodorsal vein
FJ2307	BP11497	FMA3992	Right thyrocervical trunk
FJ2308	BP13938	FMA10700	Right superficial cervical artery
FJ2309	BP13933	FMA10699	Right transverse cervical artery
FJ2310	BP13974	FMA22797	Right ulnar artery
FJ2311	BP13968	FMA22801	Right anterior ulnar recurrent artery
FJ2312	BP13759	FMA22951	Right ulnar vein
FJ2313	BP13782	FMA22936	Left medial brachial vein
FJ2314	BP12047	FMA22778	Left arteria radialis indicis
FJ2315	BP13883	FMA85118	Left first common palmar digital artery
FJ2316	BP13888	FMA85120	Left second common palmar digital artery
FJ2317	BP13890	FMA85122	Left third common palmar digital artery
FJ2318	BP14079	FMA70801	Set of dorsal digital arteries
FJ2319	BP11382	FMA85103	Proper palmar digital vein of left little finger
FJ2320	BP13764	FMA22921	Left palmar metacarpal vein
FJ2321	BP11382	FMA85103	Proper palmar digital vein of left little finger
FJ2322	BP13815	FMA22923	Common palmar digital vein
FJ2323	BP13764	FMA22921	Left palmar metacarpal vein
FJ2324	BP13814	FMA85097	Proper palmar digital vein of left index finger
FJ2325	BP13814	FMA85097	Proper palmar digital vein of left index finger
FJ2326	BP13808	FMA85099	Proper palmar digital vein of left middle finger
FJ2327	BP13812	FMA85101	Proper palmar digital vein of left ring finger
FJ2328	BP13812	FMA85101	Proper palmar digital vein of left ring finger
FJ2329	BP11382	FMA85103	Proper palmar digital vein of left little finger
FJ2330	BP11480	FMA23064	Pectoral branch of left thoraco-acromial artery
FJ2331	BP11456	FMA23125	Middle collateral branch of left deep brachial artery
FJ2332	BP12047	FMA22778	Left arteria radialis indicis
FJ2333	BP11408	FMA23051	Medial proper palmar digital artery of left index finger
FJ2334	BP11411	FMA22860	Lateral proper palmar digital artery of left middle finger
FJ2335	BP13900	FMA85116	Lateral proper palmar digital artery of left ring finger
FJ2336	BP13898	FMA23055	Lateral proper palmar digital artery of left little finger
FJ2337	BP13892	FMA85124	Left fourth common palmar digital artery
FJ2338	BP11439	FMA22907	Left arteria princeps pollicis
FJ2339	BP11439	FMA22907	Left arteria princeps pollicis
FJ2340	BP13808	FMA85099	Proper palmar digital vein of left middle finger
FJ2341	BP13781	FMA22935	Right medial brachial vein
FJ2342	BP11438	FMA22777	Right arteria radialis indicis
FJ2343	BP13882	FMA22856	Right first common palmar digital artery
FJ2344	BP13886	FMA85119	Right second common palmar digital artery
FJ2345	BP13889	FMA85121	Right third common palmar digital artery
FJ2346	BP14079	FMA70801	Set of dorsal digital arteries
FJ2347	BP14082	FMA70800	Set of dorsal metacarpal arteries
FJ2348	BP14082	FMA70800	Set of dorsal metacarpal arteries
FJ2349	BP11381	FMA85102	Proper palmar digital vein of right little finger
FJ2350	BP13763	FMA22920	Right palmar metacarpal vein
FJ2351	BP11381	FMA85102	Proper palmar digital vein of right little finger
FJ2352	BP13815	FMA22923	Common palmar digital vein
FJ2353	BP13763	FMA22920	Right palmar metacarpal vein
FJ2354	BP11383	FMA85096	Proper palmar digital vein of right index finger
FJ2355	BP11383	FMA85096	Proper palmar digital vein of right index finger
FJ2356	BP13807	FMA85098	Proper palmar digital vein of right middle finger
FJ2357	BP13807	FMA85098	Proper palmar digital vein of right middle finger
FJ2358	BP13810	FMA85100	Proper palmar digital vein of right ring finger
FJ2359	BP13810	FMA85100	Proper palmar digital vein of right ring finger
FJ2360	BP11381	FMA85102	Proper palmar digital vein of right little finger
FJ2361	BP13977	FMA23063	Pectoral branch of right thoraco-acromial artery
FJ2362	BP13956	FMA23124	Middle collateral branch of right deep brachial artery
FJ2363	BP11438	FMA22777	Right arteria radialis indicis
FJ2364	BP13885	FMA23050	Medial proper palmar digital artery of right index finger
FJ2365	BP11410	FMA22858	Lateral proper palmar digital artery of right middle finger
FJ2366	BP13899	FMA85115	Lateral proper palmar digital artery of right ring finger
FJ2367	BP13902	FMA85112	Medial proper palmar digital artery of right middle finger
FJ2368	BP13897	FMA23054	Lateral proper palmar digital artery of right little finger
FJ2369	BP13895	FMA23052	Medial proper palmar digital artery of right ring finger
FJ2370	BP13891	FMA85123	Right fourth common palmar digital artery
FJ2371	BP13951	FMA22905	Right arteria princeps pollicis
FJ2372	BP13951	FMA22905	Right arteria princeps pollicis
FJ2373	BP13957	FMA22707	Right superior ulnar collateral artery
FJ2374	BP13958	FMA22708	Left superior ulnar collateral artery
FJ2738	BP14539	FMA46702	Left genioglossus
FJ2739	BP14756	FMA46704	Left hyoglossus
FJ2740	BP12800	FMA46636	Left inferior pharyngeal constrictor
FJ2741	BP12288	FMA46729	Left levator veli palatini
FJ2742	BP13198	FMA46633	Right middle pharyngeal constrictor
FJ2743	BP12558	FMA46672	Left palatopharyngeus
FJ2744	BP13563	FMA55620	Left pterygomandibular raphe
FJ2745	BP12830	FMA46670	Left salpingopharyngeus
FJ2746	BP14707	FMA46668	Left stylopharyngeus
FJ2747	BP12608	FMA46632	Left superior pharyngeal constrictor
FJ2748	BP14702	FMA46732	Left tensor veli palatini
FJ2749	BP14627	FMA55077	Pharyngeal raphe
FJ2750	BP12390	FMA46698	Right genioglossus
FJ2751	BP13199	FMA46703	Right hyoglossus
FJ2752	BP12145	FMA46635	Right inferior pharyngeal constrictor
FJ2753	BP14671	FMA46728	Right levator veli palatini
FJ2754	BP12056	FMA46634	Left middle pharyngeal constrictor
FJ2755	BP13564	FMA46671	Right palatopharyngeus
FJ2756	BP12525	FMA55619	Right pterygomandibular raphe
FJ2757	BP14642	FMA46669	Right salpingopharyngeus
FJ2758	BP14729	FMA46667	Right stylopharyngeus
FJ2759	BP12486	FMA46631	Right superior pharyngeal constrictor
FJ2760	BP12384	FMA46731	Right tensor veli palatini
FJ2761	BP12757	FMA54640	Tongue
FJ2762	BP14718	FMA46733	Uvular muscle
FJ2763	BP12253	FMA72311	Left stylohyoid ligament
FJ2764	BP12326	FMA72309	Right stylohyoid ligament
FJ2765	BP10664	FMA59805	Left sublingual gland
FJ2766	BP14757	FMA59803	Left submandibular gland
FJ2767	BP12298	FMA59804	Right sublingual gland
FJ2768	BP12778	FMA59802	Right submandibular gland
FJ2769	BP12770	FMA9615	Cricoid cartilage
FJ2770	BP14771	FMA55130	Epiglottis
FJ2771	BP14716	FMA55227	Hyo-epiglottic ligament
FJ2772	BP14594	FMA52749	Hyoid bone
FJ2773	BP12584	FMA55118	Left cuneiform cartilage
FJ2774	BP12809	FMA46605	Left aryepiglotticus
FJ2775	BP14506	FMA55114	Left arytenoid cartilage
FJ2776	BP12156	FMA55116	Left corniculate cartilage
FJ2777	BP12668	FMA55252	Left conus elasticus
FJ2778	BP12638	FMA46581	Left lateral crico-arytenoid
FJ2779	BP12328	FMA55141	Left lateral thyrohyoid ligament
FJ2780	BP13609	FMA46585	Left oblique arytenoid
FJ2781	BP13619	FMA46614	Oblique part of left cricothyroid
FJ2782	BP12084	FMA46578	Left posterior crico-arytenoid
FJ2783	BP12401	FMA46612	Straight part of left cricothyroid
FJ2784	BP14066	FMA46590	Left thyro-arytenoid
FJ2785	BP14066	FMA46590	Left thyro-arytenoid
FJ2786	BP12561	FMA55134	Left thyrohyoid membrane
FJ2787	BP12202	FMA55246	Left vocal ligament
FJ2788	BP12813	FMA46593	Left vocalis
FJ2789	BP12443	FMA55237	Median cricothyroid ligament
FJ2790	BP14504	FMA55138	Median thyrohyoid ligament
FJ2791	BP12434	FMA46604	Right aryepiglotticus
FJ2792	BP14762	FMA55113	Right arytenoid cartilage
FJ2793	BP14584	FMA55115	Right corniculate cartilage
FJ2794	BP13124	FMA55251	Right conus elasticus
FJ2795	BP12750	FMA55117	Right cuneiform cartilage
FJ2796	BP13380	FMA46580	Right lateral crico-arytenoid
FJ2797	BP13219	FMA55140	Right lateral thyrohyoid ligament
FJ2798	BP12782	FMA46584	Right oblique arytenoid
FJ2799	BP13480	FMA46613	Oblique part of right cricothyroid
FJ2800	BP12285	FMA46577	Right posterior crico-arytenoid
FJ2801	BP11329	FMA46611	Straight part of right cricothyroid
FJ2802	BP14382	FMA46589	Right thyro-arytenoid
FJ2803	BP14382	FMA46589	Right thyro-arytenoid
FJ2804	BP12261	FMA55133	Right thyrohyoid membrane
FJ2805	BP12734	FMA55245	Right vocal ligament
FJ2806	BP12192	FMA46592	Right vocalis
FJ2807	BP13478	FMA55230	Thyro-epiglottic ligament
FJ2808	BP14393	FMA55099	Thyroid cartilage
FJ2809	BP12688	FMA46582	Transverse arytenoid
FJ2810	BP12768	FMA7163	Skin
FJ2811	BP14766	FMA52781	External ear
FJ2812	BP14632	FMA54237	Eyebrow
FJ2813	BP12430	FMA54241	Hair of head
FJ2814	BP14263	FMA59816	Lip
FJ2815	BP12044	FMA54319	Pubic hair
FJ2816	BP12554	FMA13365	Caudate lobe of liver
FJ2817	BP12737	FMA7202	Gallbladder
FJ2818	BP12686	FMA15739	Hepatovenous segment II
FJ2819	BP14641	FMA15741	Hepatovenous segment III
FJ2820	BP12669	FMA15742	Hepatovenous segment IV
FJ2821	BP12720	FMA15743	Hepatovenous segment V
FJ2822	BP14752	FMA15744	Hepatovenous segment VI
FJ2823	BP12664	FMA15746	Hepatovenous segment VIII
