#Model:BodyParts3D
#Version:4.1
#Tree:part_of
#FJID	BPID	FMA_ID	FMA_Name
FJ3673	BP14953	FMA55563	Left inferior parathyroid gland
FJ3005	BP10802	FMA68728	Lateral branch of right lateral basal segmental artery
FJ3006	BP10802	FMA68728	Lateral branch of right lateral basal segmental artery
FJ3007	BP10802	FMA68728	Lateral branch of right lateral basal segmental artery
FJ3008	BP13006	FMA68741	Mediobasal branch of right posterior basal segmental artery
FJ3009	BP11128	FMA68735	Accessory subsuperior branch of right posterior basal segmental artery
FJ3010	BP11128	FMA68735	Accessory subsuperior branch of right posterior basal segmental artery
FJ3011	BP13021	FMA68665	Anterior part of right apical segmental artery
FJ3012	BP13006	FMA68741	Mediobasal branch of right posterior basal segmental artery
FJ3013	BP10828	FMA68738	Laterobasal branch of right posterior basal segmental artery
FJ3014	BP10828	FMA68738	Laterobasal branch of right posterior basal segmental artery
FJ3015	BP14147	FMA68662	Apical part of right apical segmental artery
FJ3016	BP14147	FMA68662	Apical part of right apical segmental artery
FJ3017	BP14147	FMA68662	Apical part of right apical segmental artery
FJ3018	BP12978	FMA68670	Apical part of right posterior segmental artery
FJ3019	BP12942	FMA50872	Right pulmonary artery
FJ3020	BP11991	FMA49914	Right superior pulmonary vein
FJ3021	BP11112	FMA68928	Inferior part of right anterior segmental vein
FJ3022	BP11059	FMA8663	Right posterior segmental vein
FJ3023	BP11059	FMA8663	Right posterior segmental vein
FJ3024	BP11059	FMA8663	Right posterior segmental vein
FJ3025	BP11059	FMA8663	Right posterior segmental vein
FJ3026	BP11059	FMA8663	Right posterior segmental vein
FJ3027	BP13040	FMA68926	Superior part of right anterior segmental vein
FJ3028	BP13041	FMA8662	Right anterior segmental vein
FJ3029	BP13041	FMA8662	Right anterior segmental vein
FJ3030	BP14244	FMA68982	Superior part of medial segmental vein
FJ3031	BP10819	FMA68880	Trunk of right apical segmental vein
FJ3032	BP13989	FMA68983	Inferior part of medial segmental vein
FJ3033	BP13989	FMA68983	Inferior part of medial segmental vein
FJ3034	BP10892	FMA68945	Anterior part of lateral segmental vein
FJ3035	BP10892	FMA68945	Anterior part of lateral segmental vein
FJ3036	BP10892	FMA68945	Anterior part of lateral segmental vein
FJ3037	BP10820	FMA68944	Posterior part of lateral segmental vein
FJ3038	BP10820	FMA68944	Posterior part of lateral segmental vein
FJ3039	BP10820	FMA68944	Posterior part of lateral segmental vein
FJ3040	BP13995	FMA49911	Right inferior pulmonary vein
FJ3041	BP12965	FMA9428	Right posterior basal segmental vein
FJ3042	BP13111	FMA68921	Anterior part of right apical segmental vein
FJ3043	BP12965	FMA9428	Right posterior basal segmental vein
FJ3044	BP12965	FMA9428	Right posterior basal segmental vein
FJ3045	BP12965	FMA9428	Right posterior basal segmental vein
FJ3046	BP12965	FMA9428	Right posterior basal segmental vein
FJ3047	BP12965	FMA9428	Right posterior basal segmental vein
FJ3048	BP12965	FMA9428	Right posterior basal segmental vein
FJ3049	BP12961	FMA8673	Right anterior basal segmental vein
FJ3050	BP10745	FMA8670	Right superior segmental vein
FJ3051	BP10745	FMA8670	Right superior segmental vein
FJ3052	BP10745	FMA8670	Right superior segmental vein
FJ3053	BP13111	FMA68921	Anterior part of right apical segmental vein
FJ3054	BP13105	FMA9422	Right medial basal segmental vein
FJ3055	BP13105	FMA9422	Right medial basal segmental vein
FJ3056	BP12961	FMA8673	Right anterior basal segmental vein
FJ3057	BP12965	FMA9428	Right posterior basal segmental vein
FJ3058	BP12965	FMA9428	Right posterior basal segmental vein
FJ3059	BP11477	FMA9425	Right lateral basal segmental vein
FJ3060	BP11477	FMA9425	Right lateral basal segmental vein
FJ3061	BP11477	FMA9425	Right lateral basal segmental vein
FJ3062	BP11477	FMA9425	Right lateral basal segmental vein
FJ3063	BP10745	FMA8670	Right superior segmental vein
FJ3064	BP11348	FMA8681	Apical part of right apical segmental vein
FJ3065	BP10745	FMA8670	Right superior segmental vein
FJ3066	BP10745	FMA8670	Right superior segmental vein
FJ3067	BP11348	FMA8681	Apical part of right apical segmental vein
FJ3068	BP11348	FMA8681	Apical part of right apical segmental vein
FJ3069	BP11059	FMA8663	Right posterior segmental vein
FJ3070	BP11059	FMA8663	Right posterior segmental vein
FJ3129	BP13212	FMA15630	Left adrenal gland
FJ3130	BP11101	FMA15629	Right adrenal gland
FJ3131	BP12035	FMA13295	Diaphragm
FJ3139	BP10896	FMA9600	Prostate
FJ3144	BP13138	FMA15572	Left ureter
FJ3145	BP13272	FMA7205	Left kidney
FJ3146	BP13180	FMA15571	Right ureter
FJ3147	BP11389	FMA7204	Right kidney
FJ3148	BP11086	FMA19667	Urethra
FJ3149	BP13079	FMA15900	Urinary bladder
FJ3150	BP10958	FMA71195	Left lobe of thymus
FJ3151	BP11125	FMA71194	Right lobe of thymus
FJ3152	BP10986	FMA16586	Right hip bone
FJ3153	BP13994	FMA7488	Xiphoid process
FJ3154	BP13062	FMA10037	Tenth thoracic vertebra
FJ3155	BP10768	FMA10059	Eleventh thoracic vertebra
FJ3156	BP13264	FMA10081	Twelfth thoracic vertebra
FJ3157	BP11045	FMA13072	First lumbar vertebra
FJ3158	BP11050	FMA9165	First thoracic vertebra
FJ3159	BP11057	FMA13073	Second lumbar vertebra
FJ3160	BP10899	FMA9187	Second thoracic vertebra
FJ3161	BP11092	FMA12521	Third cervical vertebra
FJ3162	BP10847	FMA13074	Third lumbar vertebra
FJ3163	BP11345	FMA9209	Third thoracic vertebra
FJ3164	BP12981	FMA12522	Fourth cervical vertebra
FJ3165	BP13009	FMA13075	Fourth lumbar vertebra
FJ3166	BP11349	FMA9248	Fourth thoracic vertebra
FJ3167	BP13157	FMA12523	Fifth cervical vertebra
FJ3168	BP10849	FMA13076	Fifth lumbar vertebra
FJ3169	BP13112	FMA9922	Fifth thoracic vertebra
FJ3170	BP12930	FMA12524	Sixth cervical vertebra
FJ3171	BP10854	FMA9945	Sixth thoracic vertebra
FJ3172	BP10744	FMA12525	Seventh cervical vertebra
FJ3173	BP11018	FMA9968	Seventh thoracic vertebra
FJ3174	BP11126	FMA9991	Eighth thoracic vertebra
FJ3175	BP10832	FMA10014	Ninth thoracic vertebra
FJ3176	BP13155	FMA12519	Atlas
FJ3177	BP13070	FMA12520	Axis
FJ3178	BP11053	FMA7487	Body of sternum
FJ3179	BP13005	FMA32653	Distal phalanx of left second toe
FJ3180	BP14231	FMA32655	Distal phalanx of left third toe
FJ3181	BP11006	FMA32657	Distal phalanx of left fourth toe
FJ3182	BP11134	FMA32651	Distal phalanx of left big toe
FJ3183	BP10851	FMA23953	Distal phalanx of left index finger
FJ3184	BP12036	FMA23959	Distal phalanx of left little finger
FJ3185	BP13152	FMA32659	Distal phalanx of left little toe
FJ3186	BP13161	FMA23955	Distal phalanx of left middle finger
FJ3187	BP13229	FMA23957	Distal phalanx of left ring finger
FJ3188	BP11098	FMA23951	Distal phalanx of left thumb
FJ3189	BP13072	FMA32652	Distal phalanx of right second toe
FJ3190	BP11060	FMA32654	Distal phalanx of right third toe
FJ3191	BP11135	FMA32656	Distal phalanx of right fourth toe
FJ3192	BP11140	FMA32650	Distal phalanx of right big toe
FJ3193	BP13191	FMA24460	Distal phalanx of right index finger
FJ3194	BP13110	FMA24463	Distal phalanx of right little finger
FJ3195	BP10965	FMA32658	Distal phalanx of right little toe
FJ3196	BP13078	FMA24461	Distal phalanx of right middle finger
FJ3197	BP10739	FMA24462	Distal phalanx of right ring finger
FJ3198	BP14118	FMA24459	Distal phalanx of right thumb
FJ3199	BP11054	FMA52740	Ethmoid
FJ3200	BP10842	FMA52734	Frontal bone
FJ3201	BP13158	FMA52749	Hyoid bone
FJ3202	BP13250	FMA25058	Intervertebral disk of axis
FJ3203	BP13270	FMA13501	Intervertebral disk of fourth thoracic vertebra
FJ3204	BP10947	FMA13502	Intervertebral disk of fifth thoracic vertebra
FJ3205	BP10952	FMA13503	Intervertebral disk of sixth thoracic vertebra
FJ3206	BP13067	FMA13504	Intervertebral disk of seventh thoracic vertebra
FJ3207	BP10692	FMA13505	Intervertebral disk of eighth thoracic vertebra
FJ3208	BP11450	FMA13506	Intervertebral disk of ninth thoracic vertebra
FJ3209	BP13230	FMA13507	Intervertebral disk of tenth thoracic vertebra
FJ3210	BP14076	FMA13508	Intervertebral disk of eleventh thoracic vertebra
FJ3211	BP10885	FMA10446	Intervertebral disk
FJ3212	BP13173	FMA16033	Intervertebral disk of first lumbar vertebra
FJ3213	BP11118	FMA13896	Intervertebral disk of third cervical vertebra
FJ3214	BP13117	FMA16034	Intervertebral disk of second lumbar vertebra
FJ3215	BP10772	FMA16035	Intervertebral disk of third lumbar vertebra
FJ3216	BP13034	FMA16036	Intervertebral disk of fourth lumbar vertebra
FJ3217	BP11000	FMA16037	Intervertebral disk of fifth lumbar vertebra
FJ3218	BP10971	FMA13897	Intervertebral disk of fourth cervical vertebra
FJ3219	BP11416	FMA13898	Intervertebral disk of fifth cervical vertebra
FJ3220	BP11113	FMA13899	Intervertebral disk of sixth cervical vertebra
FJ3221	BP13030	FMA13900	Intervertebral disk of seventh cervical vertebra
FJ3222	BP13252	FMA10458	Intervertebral disk of first thoracic vertebra
FJ3223	BP13085	FMA13495	Intervertebral disk of second thoracic vertebra
FJ3224	BP13206	FMA13500	Intervertebral disk of third thoracic vertebra
FJ3225	BP13251	FMA8472	Left tenth rib
FJ3226	BP13238	FMA8532	Left eleventh rib
FJ3227	BP11076	FMA8534	Left twelfth rib
FJ3228	BP12037	FMA7987	Left first rib
FJ3229	BP11058	FMA8012	Left second rib
FJ3230	BP10859	FMA8039	Left third rib
FJ3231	BP10788	FMA8148	Left fourth rib
FJ3232	BP13077	FMA8093	Left fifth rib
FJ3233	BP13225	FMA8202	Left sixth rib
FJ3234	BP13262	FMA8256	Left seventh rib
FJ3235	BP10968	FMA8310	Left eighth rib
FJ3236	BP13069	FMA8391	Left ninth rib
FJ3237	BP11019	FMA13323	Left clavicle
FJ3239	BP13131	FMA8005	Left first costal cartilage
FJ3240	BP11034	FMA24465	Left first metacarpal bone
FJ3241	BP10826	FMA24508	Left first metatarsal bone
FJ3242	BP10884	FMA8031	Left second costal cartilage
FJ3243	BP13179	FMA24467	Left second metacarpal bone
FJ3244	BP13182	FMA24510	Left second metatarsal bone
FJ3245	BP10979	FMA8058	Left third costal cartilage
FJ3246	BP13165	FMA24469	Left third metacarpal bone
FJ3247	BP13196	FMA24512	Left third metatarsal bone
FJ3248	BP10994	FMA8167	Left fourth costal cartilage
FJ3249	BP11120	FMA24471	Left fourth metacarpal bone
FJ3250	BP13084	FMA24514	Left fourth metatarsal bone
FJ3251	BP11005	FMA8112	Left fifth costal cartilage
FJ3252	BP10754	FMA24473	Left fifth metacarpal bone
FJ3253	BP11132	FMA24516	Left fifth metatarsal bone
FJ3254	BP13047	FMA8221	Left sixth costal cartilage
FJ3255	BP13096	FMA8275	Left seventh costal cartilage
FJ3256	BP10913	FMA24498	Left calcaneus
FJ3257	BP14146	FMA24447	Left capitate
FJ3258	BP10915	FMA24529	Left cuboid bone
FJ3259	BP13226	FMA24475	Left femur
FJ3260	BP13032	FMA24481	Left fibula
FJ3261	BP11033	FMA24449	Left hamate
FJ3262	BP11354	FMA23131	Left humerus
FJ3263	BP13217	FMA54738	Left inferior nasal concha
FJ3264	BP13094	FMA24524	Left intermediate cuneiform bone
FJ3265	BP10805	FMA53646	Left lacrimal bone
FJ3267	BP13051	FMA24526	Left lateral cuneiform bone
FJ3268	BP10904	FMA24438	Left lunate
FJ3269	BP11070	FMA53650	Left maxilla
FJ3271	BP10995	FMA24522	Left medial cuneiform bone
FJ3272	BP10989	FMA53648	Left nasal bone
FJ3273	BP13880	FMA53656	Left palatine bone
FJ3274	BP11121	FMA52789	Left parietal bone
FJ3275	BP13053	FMA24487	Left patella
FJ3276	BP11047	FMA24442	Left pisiform
FJ3277	BP11074	FMA23465	Left radius
FJ3278	BP10814	FMA24436	Left scaphoid
FJ3279	BP11099	FMA13396	Left scapula
FJ3280	BP13255	FMA24483	Left talus
FJ3281	BP10751	FMA52739	Left temporal bone
FJ3282	BP11119	FMA24478	Left tibia
FJ3283	BP13213	FMA24444	Left trapezium
FJ3284	BP11138	FMA24445	Left trapezoid
FJ3285	BP10938	FMA24440	Left triquetral
FJ3286	BP13232	FMA23468	Left ulna
FJ3287	BP10905	FMA52893	Left zygomatic bone
FJ3288	BP13192	FMA16587	Left hip bone
FJ3289	BP10808	FMA52748	Mandible
FJ3290	BP12011	FMA7486	Manubrium
FJ3291	BP11501	FMA23942	Middle phalanx of left ring finger
FJ3292	BP10891	FMA24457	Middle phalanx of right ring finger
FJ3293	BP13869	FMA32643	Middle phalanx of left second toe
FJ3294	BP13955	FMA32645	Middle phalanx of left third toe
FJ3295	BP13205	FMA32647	Middle phalanx of left fourth toe
FJ3296	BP13228	FMA23938	Middle phalanx of left index finger
FJ3297	BP10942	FMA23944	Middle phalanx of left little finger
FJ3298	BP13223	FMA230988	Middle phalanx of left little toe
FJ3299	BP10893	FMA23940	Middle phalanx of left middle finger
FJ3300	BP10902	FMA32642	Middle phalanx of right second toe
FJ3301	BP11071	FMA32644	Middle phalanx of right third toe
FJ3302	BP10937	FMA32646	Middle phalanx of right fourth toe
FJ3303	BP13095	FMA24455	Middle phalanx of right index finger
FJ3304	BP10903	FMA24458	Middle phalanx of right little finger
FJ3305	BP11130	FMA230986	Middle phalanx of right little toe
FJ3306	BP13249	FMA24456	Middle phalanx of right middle finger
FJ3307	BP10943	FMA24501	Navicular bone of left foot
FJ3308	BP11102	FMA24500	Navicular bone of right foot
FJ3309	BP11109	FMA52735	Occipital bone
FJ3310	BP11002	FMA43253	Proximal phalanx of right big toe
FJ3311	BP11511	FMA32637	Proximal phalanx of left third toe
FJ3312	BP13049	FMA32639	Proximal phalanx of left fourth toe
FJ3313	BP13044	FMA71915	Proximal phalanx of left index finger
FJ3314	BP10969	FMA66791	Proximal phalanx of left little finger
FJ3315	BP13103	FMA32641	Proximal phalanx of left little toe
FJ3316	BP11027	FMA71908	Proximal phalanx of left middle finger
FJ3317	BP14003	FMA71916	Proximal phalanx of left ring finger
FJ3318	BP10696	FMA65470	Proximal phalanx of left thumb
FJ3319	BP11116	FMA32634	Proximal phalanx of right second toe
FJ3320	BP10984	FMA32636	Proximal phalanx of right third toe
FJ3321	BP10850	FMA32638	Proximal phalanx of right fourth toe
FJ3322	BP13181	FMA24451	Proximal phalanx of right index finger
FJ3323	BP13003	FMA24454	Proximal phalanx of right little finger
FJ3324	BP10882	FMA32640	Proximal phalanx of right little toe
FJ3325	BP13214	FMA24452	Proximal phalanx of right middle finger
FJ3326	BP13045	FMA24453	Proximal phalanx of right ring finger
FJ3327	BP12984	FMA24450	Proximal phalanx of right thumb
FJ3328	BP11080	FMA32635	Proximal phalanx of left second toe
FJ3329	BP10953	FMA43254	Proximal phalanx of left big toe
FJ3330	BP13060	FMA8445	Right tenth rib
FJ3331	BP11046	FMA8531	Right eleventh rib
FJ3332	BP11131	FMA8533	Right twelfth rib
FJ3333	BP13068	FMA7875	Right first costal cartilage
FJ3334	BP13048	FMA7857	Right first rib
FJ3335	BP13178	FMA7886	Right second costal cartilage
FJ3336	BP11139	FMA7882	Right second rib
FJ3337	BP11061	FMA7913	Right third costal cartilage
FJ3338	BP13201	FMA7909	Right third rib
FJ3339	BP10914	FMA7976	Right fourth costal cartilage
FJ3340	BP11082	FMA7957	Right fourth rib
FJ3341	BP13153	FMA8070	Right fifth costal cartilage
FJ3342	BP11007	FMA8066	Right fifth rib
FJ3343	BP12933	FMA8194	Right sixth costal cartilage
FJ3344	BP11032	FMA8175	Right sixth rib
FJ3345	BP10863	FMA8248	Right seventh costal cartilage
FJ3346	BP10843	FMA8229	Right seventh rib
FJ3347	BP11078	FMA8283	Right eighth rib
FJ3348	BP13253	FMA8364	Right ninth rib
FJ3349	BP13071	FMA23464	Right radius
FJ3350	BP10920	FMA24464	Right first metacarpal bone
FJ3351	BP10848	FMA24507	Right first metatarsal bone
FJ3352	BP10845	FMA24466	Right second metacarpal bone
FJ3353	BP13108	FMA24509	Right second metatarsal bone
FJ3354	BP11390	FMA24468	Right third metacarpal bone
FJ3355	BP11008	FMA24511	Right third metatarsal bone
FJ3356	BP10889	FMA24470	Right fourth metacarpal bone
FJ3357	BP11100	FMA24513	Right fourth metatarsal bone
FJ3358	BP13184	FMA24472	Right fifth metacarpal bone
FJ3359	BP11421	FMA24515	Right fifth metatarsal bone
FJ3360	BP13224	FMA24497	Right calcaneus
FJ3361	BP10912	FMA24446	Right capitate
FJ3362	BP13271	FMA13322	Right clavicle
FJ3364	BP13170	FMA24528	Right cuboid bone
FJ3365	BP13183	FMA24474	Right femur
FJ3366	BP12983	FMA24480	Right fibula
FJ3367	BP13267	FMA24448	Right hamate
FJ3368	BP13258	FMA23130	Right humerus
FJ3369	BP13063	FMA54737	Right inferior nasal concha
FJ3370	BP11094	FMA24523	Right intermediate cuneiform bone
FJ3371	BP13136	FMA53645	Right lacrimal bone
FJ3373	BP13130	FMA24525	Right lateral cuneiform bone
FJ3374	BP11143	FMA24437	Right lunate
FJ3375	BP10856	FMA53649	Right maxilla
FJ3377	BP12039	FMA24521	Right medial cuneiform bone
FJ3378	BP11075	FMA53647	Right nasal bone
FJ3379	BP12013	FMA53655	Right palatine bone
FJ3380	BP11073	FMA52788	Right parietal bone
FJ3381	BP14265	FMA24486	Right patella
FJ3382	BP12034	FMA24441	Right pisiform
FJ3383	BP10974	FMA24435	Right scaphoid
FJ3384	BP11087	FMA13395	Right scapula
FJ3385	BP10767	FMA24482	Right talus
FJ3386	BP13171	FMA52738	Right temporal bone
FJ3387	BP10766	FMA24477	Right tibia
FJ3388	BP10924	FMA24443	Right trapezium
FJ3389	BP12936	FMA23725	Right trapezoid
FJ3390	BP10855	FMA24439	Right triquetral
FJ3391	BP13027	FMA23467	Right ulna
FJ3392	BP10999	FMA52892	Right zygomatic bone
FJ3393	BP11107	FMA16202	Sacrum
FJ3394	BP10908	FMA52736	Sphenoid bone
FJ3395	BP10996	FMA9710	Vomer
FJ2386	BP14367	FMA70447	Caudate lobe branch of right hepatic artery
FJ2404	BP13039	FMA15415	Left portal vein
FJ2405	BP12951	FMA15414	Right portal vein
FJ2409	BP14537	FMA15745	Hepatovenous segment VII
FJ2415	BP14536	FMA14339	Left hepatic vein
FJ2416	BP14535	FMA14338	Right hepatic vein
FJ3670	BP14949	FMA49178	Isthmus of thyroid gland
FJ3671	BP14963	FMA13369	Left lobe of thyroid gland
FJ3672	BP14950	FMA13368	Right lobe of thyroid gland
